#company, performance name, audience
Alibabe, othello, 65
Alibabe, othello, 50
Alibabe, hamlet, 80
Alibabe, hamlet, 18
Alibabe, othello, 53
Alibabe, othello, 73
Amazing, othello, 66
Amazing, hamlet, 16
Amazing, othello, 59
Amazing, othello, 14
Amazing, hamlet, 77
Amazing, othello, 26
BigCo, hamlet, 10
BigCo, as-like, 25
BigCo, othello, 20
DigitalGoodsCorp, othello, 92
DigitalGoodsCorp, hamlet, 61
DigitalGoodsCorp, othello, 62
DigitalGoodsCorp, hamlet, 68
GreenMoneyBank, hamlet, 14
GreenMoneyBank, hamlet, 65
GreenMoneyBank, othello, 87
GreenMoneyBank, othello, 14
GreenMoneyBank, hamlet, 74
GreenMoneyBank, hamlet, 23
Leeeeeroy, hamlet, 29
Playtough, hamlet, 77
Playtough, othello, 84
Playtough, othello, 64
Playtough, othello, 18
Playtough, hamlet, 69
RicksGuitars, hamlet, 59
RicksGuitars, hamlet, 72
RicksGuitars, othello, 77
RicksGuitars, hamlet, 76
StarCups, hamlet, 79
StarCups, hamlet, 39
StarCups, hamlet, 20
StarCups, hamlet, 52
StillWaterInc, hamlet, 27
StillWaterInc, hamlet, 63
StillWaterInc, hamlet, 39
DigitalGoodsCorp, hamlet, 87
Leeeeeroy, othello, 69
StarCups, hamlet, 48
Amazing, hamlet, 61
GreenMoneyBank, hamlet, 58
RicksGuitars, othello, 38
Leeeeeroy, othello, 74
GreenMoneyBank, othello, 46
RicksGuitars, hamlet, 87
GreenMoneyBank, othello, 53
StarCups, hamlet, 18
Alibabe, hamlet, 79
StarCups, hamlet, 47
Alibabe, hamlet, 88
BigCo, as-like, 40
BigCo, as-like, 38
